,ids,bday,enrolldate,expgradate,Rank,Major,Gender,Athlete,Height,Weight,Smoking,Sprint,English,Reading,Math,Writing,State,LiveOnCampus,HowCommute,CommuteTime,SleepTime,StudyTime,enrolldate ,Score,BMI
0,43783,1995-03-22,2000-01-01,2000-01-01,unknown,unknown,Male,0,0.83356148248,16.894699623985474,Not a smoker,7.978,88.24,81.5,60.02,81.44,In state,on campus,Public Transport,27.0,7.0,1.0,2000-01-01,311.2,0.0345841610479153
1,20278,1995-01-01,2000-01-01,2000-01-01,unknown,Philosophy,Male,0,0.814090592288,16.72376915723148,Not a smoker,8.004,89.45,85.25,70.19,73.27,unknown,on campus,Public Transport,27.0,5.0,2.0,2000-01-01,318.15999999999997,0.03589142810950956
2,20389,1994-12-31,2000-01-01,2000-01-01,unknown,unknown,Male,0,0.8143210170240001,18.526800519495502,Not a smoker,6.581933155080214,96.73,86.88,71.2,84.24,In state,unknown,Public Transport,27.0,8.0,7.0,2000-01-01,339.05,0.03973847392089585
3,22820,1994-12-01,2000-01-01,2000-01-01,unknown,business administration,Female,0,0.783810071098353,18.51000209065453,3.0,8.473,74.06,88.68,55.89,73.16,In state,on campus,Public Transport,27.0,2.0,6.0,2000-01-01,291.79,0.04285355307345066
4,24559,1994-11-10,2000-01-01,2000-01-01,unknown,unknown,Female,1,0.7768769974240001,11.961414580816735,Unknown,6.581933155080214,82.61,77.3,65.52,80.45,Out of state,on campus,Public Transport,27.0,7.0,3.0,2000-01-01,305.88,0.028189025660634782
5,28980,1994-09-17,2000-01-01,2000-01-01,unknown,astrophysics,Male,1,0.78862865896,16.015435407770617,Not a smoker,4.65,70.1,82.0708,61.4,77.48,In state,on campus,Public Transport,27.0,8.0,3.0,2000-01-01,291.0508,0.03662652248125962
6,33312,1994-07-27,2000-01-01,2000-01-01,unknown,Anthropology,Male,1,0.789895995008,15.301502182029433,Not a smoker,4.75,78.98,87.53,76.71,70.79,In state,on campus,Public Transport,27.0,9.0,9.0,2000-01-01,314.01,0.03488159150601335
7,40274,1994-05-03,2000-01-01,2000-01-01,unknown,American History,Male,1,0.828492138288,20.79925464325994,Not a smoker,6.581933155080214,82.78755501222494,67.31,58.64,65.89,In state,off campus,Public Transport,27.0,8.0,3.0,2000-01-01,274.6275550122249,0.04309957975444089
8,40390,1994-04-30,2000-01-01,2000-01-01,unknown,Africana studies,Female,1,0.793121941312,14.43731634276624,Not a smoker,6.279,75.65,76.54,51.14,75.94,In state,off campus,car,26.0,5.461538461538462,3.0,2000-01-01,279.27,0.032644392457258836
9,28942,1993-09-17,2000-01-01,2000-01-01,unknown,unknown,Female,1,0.7683512821919999,16.85162386563219,Not a smoker,6.076,68.27,93.88,55.2,78.18,Out of state,unknown,walking,13.0,2.0,15.0,2000-01-01,295.53,0.040599825148917176
10,29045,1993-09-17,2000-01-01,2000-01-01,unknown,French,Male,0,0.807869124416,15.360296682972825,Not a smoker,8.498,86.0,91.34,64.41,71.02,Out of state,off campus,car,20.0,1.0,6.0,2000-01-01,312.77,0.03347492636695825
11,35676,1993-06-27,2000-01-01,2000-01-01,unknown,history,Female,1,0.770885954288,16.601513925111092,3.0,6.581933155080214,79.94,76.74,62.53,84.78,In state,on campus,Public Transport,27.0,4.0,0.0,2000-01-01,303.99,0.039734657634293326
12,38764,1993-05-22,2000-01-01,2000-01-01,unknown,unknown,Male,1,0.7512998517279998,13.060778423853492,Not a smoker,4.661,101.95,74.45,66.8,88.5,In state,off campus,car,29.0,4.0,2.0,2000-01-01,331.7,0.032911259462751384
13,39796,1993-05-08,2000-01-01,2000-01-01,unknown,unknown,Female,0,0.83356148248,21.489856717833113,Unknown,7.312,88.97,86.53,52.48,81.21,Out of state,off campus,car,38.0,4.0,2.0,2000-01-01,309.19,0.04399064098014672
14,41092,1993-04-23,2000-01-01,2000-01-01,unknown,"engineering,undecided",Male,0,0.7733054140160001,24.44358045570352,Not a smoker,7.113,91.79,84.44,66.76,88.03,In state,on campus,Public Transport,27.0,4.0,11.0,2000-01-01,331.02000000000004,0.0581386263515366
15,43344,1993-03-26,2000-01-01,2000-01-01,unknown,Fine Arts (Painting),Male,0,0.783810071098353,12.383241793934406, smoker,7.443,70.42,85.29,57.95,79.22,In state,on campus,Public Transport,27.0,9.0,7.208651399491094,2000-01-01,292.88,0.028669143679117517
